JobTitle,Company,Location,PostDate,Summary,JobUrl
LMS Administrator,Spirit Airlines,"Miramar, FL",2 days ago,"Collaborate with Scheduling & Records, Content developers, LMS & SETS Vendors, & Instructors to setup, operate, maintain, and administer usage & analysis of LMS…",https://www.indeed.com/rc/clk?jk=90cbb6da59a1bade&fccid=a78a760af11ad436&vjs=3
"Full Stack Developer, Junior",Booz Allen Hamilton,"Washington, DC",10 days ago,"Experience with working in full stack development, including front-end, back-end, database, and DevOps. We’re looking for a developer with the skills needed to…",https://www.indeed.com/rc/clk?jk=268b3075d7e4c8c6&fccid=4e041af1d0af1bc8&vjs=3
Full Stack Developer,Instrument,"New York, NY",30+ days ago,"Grasp the implications of back-end API integrations, and can effectively cross between front-end and back-end development.",https://www.indeed.com/rc/clk?jk=46960be916b2ce98&fccid=39e9814c7cebaf41&vjs=3
Application Developer,Crema,"Kansas City, MO",15 days ago,"At Crema, products are built by small, autonomous, cross-functional teams. Develop new user-facing features using tools like TypeScript, React, ReactNative,…",https://www.indeed.com/rc/clk?jk=a45e7208cbc3e2bc&fccid=f1c02157fe37f743&vjs=3
"Director, End-to-End Security__",Cisco Systems,"San Jose, CA",22 days ago,"Deep domain and/or proven experience and expertise in transforming security operations for Enterprise customers, with knowledge or prior experience in…",https://www.indeed.com/rc/clk?jk=1cb7d6fb53b2afb8&fccid=dfc44f3b8c44a6db&vjs=3
"Director, Quality Engineering",S&P Global,"Springfield, IL",30+ days ago,"Develop and implement quality test infrastructure across multiple channels including web, mobile, service layers, back-end, and integration.",https://www.indeed.com/rc/clk?jk=f04352d55696a2d4&fccid=b716e44d2c6283e7&vjs=3
"Web Developer, Front-end (Web Designer/Developer)",Indiana University,"Bloomington, IN",30+ days ago,"Act as a liaison between design/creative teams, back-end web developers, and stakeholders to ensure optimal functionality, performance, scalability, and…",https://www.indeed.com/rc/clk?jk=3a357470e3cc389b&fccid=8b8af8e5cb513470&vjs=3
Word Press Developer,Oozle Media,"Sandy, UT",30+ days ago,You will need to be able to slice a PSD into a fully-functioning website using a blank template (without tweaking existing WordPress templates).,https://www.indeed.com/rc/clk?jk=ae5c04c34cd8d98d&fccid=1e99f7666fda15e0&vjs=3
Developer (Full Stack) - Senior,Bayer,"Chicago, IL",8 days ago,"10+ years hands-on experience developing robust back-end services and platforms. Plan, lead and guide improvements and architecture in key discipline areas and…",https://www.indeed.com/rc/clk?jk=4a7cb092dc6d644c&fccid=e08122e0e993cc32&vjs=3
PYTHON DEVELOPER,Bangura Solutions,Remote,23 days ago,Developing back-end components to improve model responsiveness and performance. Familiarity with front-end technologies (such JavaScript and HTML5).,https://www.indeed.com/rc/clk?jk=aea4c535ed6cf391&fccid=f53fad3b59883186&vjs=3
