JobTitle,Company,Location,PostDate,Summary,JobUrl
Data Engineer,Finerio Connect,Remoto,"Posted
Publicado hace 21 días","Desarrollar e implementar plataformas innovadoras de big data para análisis y procesamiento de datos avanzados.
Si has manejado Airflow, AWS o Scala.",https://mx.indeed.com/rc/clk?jk=e7a676b8a18c8916&fccid=03b5d5da7837afe1&vjs=3
Data Engineer - Hadoop / Big Data / Big Query,Azka IT Consulting SA de CV,Remoto,"Posted
Publicado hace más de 30 días","Expereincia con *Hadoop (HDFS, HIVE)* y *Big data*.
Data Engineer - Hadoop / Big Data / Big Query*.
Inglés *Intermedio-Avanzad*o Conversasional Indispensable.",https://mx.indeed.com/company/Azka-IT-Consulting-SA-de-CV/jobs/Data-engineer-ce2a0648c895eeb9?fccid=42101bfbb369f7b6&vjs=3
Data Engineer with experience in Python and scripting,Luxoft,Remoto,"Posted
Publicado hace más de 30 días","At least 3 years of experience as a data engineer or software developer.
Understanding of algorithms and data structures.
Experience with Docker and Kubernetes.",https://mx.indeed.com/rc/clk?jk=e58d6d5b4b27c299&fccid=4b841d912d46e4fd&vjs=3
Data Engineer,Wizeline,Remoto,"Posted
Publicado hace más de 30 días","Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",https://mx.indeed.com/rc/clk?jk=7092168aa27a95c9&fccid=da33cac326f2a81b&vjs=3
Data Engineer,Taltere SA de CV,Remoto,"Posted
Publicado hace más de 30 días","Consultas SQL, procedimientos almacenados, optimización (preferiblemente 2 años de experiencia).
Kafka/AWS Kinesis/Google Cloud Dataflow/Azure Event Hub/Flink.",https://mx.indeed.com/rc/clk?jk=c3b108d66fc8dc41&fccid=73ccb00d0b2ce42d&vjs=3
Data Engineer II,Kueski,Remoto,"Posted
Publicado hace más de 30 días","Experience with at least one data architectural pattern.
Ability to transform requirements into working software in production.",https://mx.indeed.com/rc/clk?jk=f60fd1e830de5725&fccid=69404b4fd1d4bb12&vjs=3
DATA ENGINEER JR,Go-Sharp,Remoto,"Posted
Publicado hace más de 30 días","Practical experience in data analysis.
Responsible for the implementation and automation of information transformation processes for analysis.",https://mx.indeed.com/rc/clk?jk=88eaca7a468ecd44&fccid=6ebb654ca5bbc5d1&vjs=3
Sr. Data Engineer (Python),Axented,Remoto,"Posted
Publicado hace 20 días","Design, develop, and test data processing pipelines.
Design cohesisent APIs between services for data monitoring and manipulation.",https://mx.indeed.com/rc/clk?jk=38736c146b510f8b&fccid=98e1543e8ed15518&vjs=3
"Data Engineer, Retail & Media",EXL Services,Remoto,"Posted
Publicado hace 16 días","Experience in data modeling, metadata support, development and testing for enterprise wide data solutions.
5+ years of data engineering experience.",https://mx.indeed.com/rc/clk?jk=a4ead387b552ff56&fccid=e3e300fc88f0e813&vjs=3
Big Data Engineer,EPAM Systems,Remoto,Contratación continua,"Experience building data ingestion pipelines, Data Warehouse or Database architecture.
Experience with data modeling; hands-on development experience with…",https://mx.indeed.com/company/EPAM-Systems/jobs/Big-data-engineer-08b70bc8386e1b8b?fccid=532afac41b2663f7&vjs=3
Product Support Engineer - Data Security,Imperva,Remoto,"Posted
Publicado hace más de 30 días","Product Support Engineer- Data Security.
Data Security is essential for any business, large or small, and they need to have a security partner they can trust…",https://mx.indeed.com/rc/clk?jk=5bab44deff9eb505&fccid=a83aa9033316475b&vjs=3
