JobTitle,Company,Location,PostDate,Summary,JobUrl
Becario (a) Tableau Data Science,Turing Inteligencia Artificial,Remoto,"Posted
Publicado hace 4 días","DESCRIPCIÓN DEL EMPLEO Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge…",https://mx.indeed.com/company/Turing-Inteligencia-Artificial/jobs/Becario-tableau-data-science-a54370b4fdf62aa0?fccid=cb0bcfb2d1ba2469&vjs=3
Data Scientist / Intern to Full time,Framework Science,Remoto,"Posted
Publicado hace más de 30 días","Interest in starting a professional career as a data scientist.
Get data from the internet to create datasets to train machine learning models.",https://mx.indeed.com/rc/clk?jk=99945198460f7857&fccid=a65d190a5aa4346e&vjs=3
Data Science Graduate (Mexico),Novo Nordisk,México,"Posted
Publicado hace 9 días","About the Data Science Graduate Programme*.
The Data Science Graduate Programme offers rotational opportunities with a total of 3 challenging and exciting 8…",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cq74_zXUwJwsBM9xLQJlT447GC-wl4xjP5LxL8ElHUdVUmx8hwQENPDnCHtInbDCSthgPn6JdLaDg6ojvj5-dfmRCC_on7mmQXtxVzwgtj-JnTxh7sph1qKRLidLzZsTuqQiWPnuQNwKwbhSmPUBTCtNwx9e2OjSQzaLdcg8Hio9tci97A31aUHzWwmC9Jdgm4zyDC1I_D27jgMjUl9RKzrza6zU6fHOQHig-akKznmBZkjTIHPpuiUCVOKiLsLzOj-95VHI6s_s03EPGqbrbSANXLNYY9s0ThgQOHFgFYt3sKev-QVsvOTbF18c68g4MNTf_nOb9laU0beDALHIWYlJT2mwBQzHNAMledO-DelPMCj946f7fnDPSVS-eLGA28SbXZJvcVCnKew9Ic7wQysEeck6W9lwdGaQhLXIi3Ltzy2OSk8iq9cVS9l4di6lhzDWZ2nO8f0uzRdiFbW68dPfXs4FDnHPn9UuhSnF4kBBM6Uq0q0iKawPZIeqgkHGBrTgv7E7MmXNeIiotEwPuph-j_O6pekr75yDP5lOR8fUXSDhOGtA7HgTr5Qzth1-F6jFRq5FRbUBdSf9c3Fe84&xkcb=SoDq-_M3WBOKUZgVDj0NbzkdCdPP&p=2&fvj=1&vjs=3
Data Analyst-1,S&P Global,Remoto,"Posted
Publicado hace más de 30 días","3+ years of analytics, business intelligence, consulting, and/or strategy experience strong data analytics/data science background.",https://mx.indeed.com/rc/clk?jk=902e67a80cbd4d35&fccid=b716e44d2c6283e7&vjs=3
Account Manager,Club Feast,Remoto,"Employer
Activo hace 4 días","Create personas through user research and data.
Club Feast connects people with their favorite local restaurants and saves them 40% on their pre-ordered food…",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzJp22jGAbtQyp-E5_oclV3zYN9PldXlyirGmTa1Ko78z3jyteTMNUVVzAXfGnPwAFCx81CuIbEK1Ko3VJr1i-87fXqfnAvI3CC6MI3snfVhAhtOPxEwetPv0PYWqnZFKWeCQVbGEaR_PfcmkXkFLd-S1bGy3q3oTcfVEC6DdMg5O_3_aN22CU9agW5gFzlEXnYLNbaz4xxoSrbtQd5tZtX938YpGCmztqhYisNU0EzAIS4CNOST6T-5Jjgz8xKT5WsGAccTUzdXevMEmm3KqvVnlICYrIdnKojBBHSU7nCqKtRsS-jdFvKBXtfDjk_ZZSeinyKMnVq7W0Uxmf4Ym8Hwd43xRETAlNYuPMSWZrqFjQrymporPoIuLaYWA33YtTvv-zewrEr0Fa0tx7HseZaZRj8b_rIklRUK0_gtTLNJqYupG4srjs6N5t5Q5JHLCgNm4qvFTtxW3_G2woOY4yZkyf8f0s_hPwlxGmIA3LGg==&xkcb=SoB3-_M3WBOKUYAVDj0JbzkdCdPP&p=4&fvj=1&vjs=3
Training Tableau Data Science,Turing Inteligencia Artificial,Remoto,"Posted
Publicado hace 4 días",TRAINING TABLEAU DATA SCIENCE SOLO LOS CANDIDATOS QUE RESPONDAN EL SIGUIENTE FORMULARIO SERÁN CONSIDERADOS PARA UNA ENTREVISTA https://forms.monday.com/forms…,https://mx.indeed.com/company/Turing-Inteligencia-Artificial/jobs/Training-tableau-data-science-038f2569a09cdb5e?fccid=cb0bcfb2d1ba2469&vjs=3
Project Coordinator (Mexico Remote),Oceaneering,Remoto,"Posted
Publicado hace 12 días","Organize and maintain project data.
The Project Coordinator provides administrative assistance to Subsea Robotics Project Management Group in Rest of Americas…",https://mx.indeed.com/rc/clk?jk=2308bc51706bd76f&fccid=ebfc084a0701a085&vjs=3
"NLP/DATA SCIENCE ENGINEER (+RASA, PYTHON)",Svitla Systems,Remoto,"Posted
Publicado hace más de 30 días","Study and transform data science prototypes.
Experience generating data using data generation tools.
Understanding NLP techniques for text representation,…",https://mx.indeed.com/rc/clk?jk=4e8982f5d53e18f1&fccid=2f27a82023b4a64f&vjs=3
CFSP CRA 2,IQVIA,Remoto,"Posted
Publicado hace más de 30 días","Perform monitoring and site management work to ensure that sites are conducting the study(ies) and reporting study data as required by the study protocol,…",https://mx.indeed.com/rc/clk?jk=77c5f81e5cf0ff33&fccid=6b7a1dfe07e7f037&vjs=3
DATA ENGINEER,Svitla Systems,Remoto,"Posted
Publicado hace 8 días",Build a platform to maintain high-quality listing data & drive operational excellence for the project’s MLS data ingestion.,https://mx.indeed.com/rc/clk?jk=d945c1e137ea8623&fccid=2f27a82023b4a64f&vjs=3
