JobTitle,Company,Location,PostDate,Summary,JobUrl
Data Exploitation Analyst,Canadian Security Intelligence Service,"Ottawa, ON","Posted
Posted 2 days ago","Consult with clients to determine their requirements for data analysis, understand their intelligence question(s), and in non-technical language advise on…",https://ca.indeed.com/rc/clk?jk=046e8789165f23f7&fccid=19150974fd7b2a28&vjs=3
Data Wizard,StylePixi,"Vancouver, BC","Posted
Posted 30+ days ago","2+ years experience doing quantitative analysis preferably for a social web company.
A strong passion for empirical research and for answering hard questions…",https://ca.indeed.com/rc/clk?jk=19b3ffb4fa3359e8&fccid=44a91c210e0ff96f&vjs=3
Senior Analyst (Data Analysis),Ontario Health,Ontario,"Posted
Posted 7 days ago","Developing and maintaining a detailed knowledge of OHs data holdings; including reporting standards, data processes and methods, data quality and related…",https://ca.indeed.com/rc/clk?jk=6bea55fca260ac03&fccid=942edb5b2679caa0&vjs=3
Data Analyst,BC Ferries,"Victoria, BC","Posted
Posted 1 day ago","Experience in data analysis using excel and/or other applications.
As a Data Analyst on the Tariff and Revenue Team, you are the expert in the traffic & revenue…",https://ca.indeed.com/rc/clk?jk=1042105645886af2&fccid=f041e48fe88e993f&vjs=3
Data Analyst,Shaw Communications,"Toronto, ON","Posted
Posted 2 days ago","Design and develop data analysis, reports, and dashboards that summarizes and transforms data from various data sources into understandable, actionable…",https://ca.indeed.com/rc/clk?jk=eeea58b4be31d5ac&fccid=0261b4753802fd26&vjs=3
Data Engineer,Samsung Electronics,"Vancouver, BC","Posted
Posted 3 days ago","Develop Tableau data sources for data analysis and insights.
Develop aggregated data table based on data lake architecture.",https://ca.indeed.com/rc/clk?jk=1170504c175a877e&fccid=da3c7fed78dd1607&vjs=3
"Junior Data Analyst - Mississauga, ON",Arjo,Ontario,"Posted
Posted 13 days ago","This will include having ADVANCED knowledge of MS Excel and understanding of SQL databases on in order to run data validation, data cleaning, data mapping, and…",https://ca.indeed.com/rc/clk?jk=368f2c345b91823e&fccid=2bfa8eae4de8382a&vjs=3
"Data Quality Coordinator I (Remote, Canada)",TrialCard,Remote in Canada,"Posted
Posted 23 days ago",Conduct data hygiene activities to resolve data quality issues; these data cleansing activities will be identified as part of the proactive data quality…,https://ca.indeed.com/rc/clk?jk=9b198e9cd14929ca&fccid=4d62dc19647ec8f9&vjs=3
Hybrid Vehicle Data Analysis Engineer - Associate,RACAR International,"Remote in Windsor, ON","Posted
Posted 30+ days ago","The Hybrid Calibration Engineer is responsible for HCP calibration development from first Hardware-In-Loop simulators, powertrain dynamometers and mule vehicles…",https://ca.indeed.com/rc/clk?jk=bde3997b6cca2b98&fccid=3966eea3fa963bc1&vjs=3
Software Data Engineer Co-op,McAfee,"Remote in Waterloo, ON
+1 location","Posted
Posted 21 days ago","Perform data modeling and deep data analysis on big data systems to bring nuanced perspective to a complex user-base, product and business.",https://ca.indeed.com/rc/clk?jk=24d6d904b797dcb8&fccid=800f11c47014effe&vjs=3
Data Steward I,Kroll,Ontario,"Posted
Posted 7 days ago","In this role, you will be a critical member of a data stewardship team, working together with data engineering, data science and data analytics teams.",https://ca.indeed.com/rc/clk?jk=03ea760d7cbe23a1&fccid=2991547aff717aed&vjs=3
Data Analyst (intern),"Nasdaq, Inc.","Hybrid remote in Toronto, ON","Posted
Posted 1 day ago","Demonstrated experience in exploratory data analysis.
Research market events and emerging trends where our data products can offer exceptional insights.",https://ca.indeed.com/rc/clk?jk=74f6ecdd38d04e99&fccid=05cb90efaa938c87&vjs=3
